,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
260,Blue,Loss,True,True,False,False,False,False,3,0,0,0,0
265,Red,Win,False,False,True,True,True,True,9,2,1,5,1
270,Blue,Loss,True,True,False,False,True,True,3,0,0,2,2
275,Red,Win,False,False,True,False,False,False,9,2,0,3,0
280,Blue,Win,False,True,True,False,True,False,8,2,0,5,1
285,Red,Loss,True,False,False,True,False,True,3,0,1,1,1
290,Blue,Loss,False,True,False,False,True,True,4,0,0,3,2
295,Red,Win,True,False,True,True,False,False,7,1,1,0,0
300,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
305,Red,Win,True,True,False,True,True,True,4,0,1,3,2
310,Blue,Loss,True,False,False,False,False,False,1,0,0,0,0
315,Red,Win,False,True,False,False,True,True,5,0,0,2,1
320,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
325,Red,Win,True,True,True,False,True,True,5,1,0,2,1
330,Blue,Win,True,True,False,False,True,True,3,0,0,2,1
335,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
340,Blue,Loss,False,False,False,False,True,False,1,0,0,1,0
345,Red,Win,True,True,False,False,False,True,5,0,0,2,2
350,Blue,Win,True,True,True,True,False,True,9,2,1,2,2
355,Red,Loss,False,False,False,False,True,False,2,0,0,2,0
360,Blue,Win,True,True,True,True,False,False,8,2,1,3,0
365,Red,Loss,False,False,False,False,True,False,3,0,0,3,0
370,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
375,Red,Win,True,True,False,False,True,True,2,0,0,2,1
380,Blue,Win,False,False,False,False,False,True,7,1,0,3,2
385,Red,Loss,True,True,True,True,True,False,8,2,3,2,0
390,Blue,Loss,True,False,False,False,True,True,0,0,0,1,1
395,Red,Win,False,True,False,False,False,False,5,0,0,3,1
400,Blue,Win,True,True,True,True,True,True,11,3,2,4,1
405,Red,Loss,False,False,False,False,False,False,1,0,0,0,0
410,Blue,Loss,True,True,True,True,False,True,7,1,1,2,2
415,Red,Win,False,False,False,False,True,False,11,2,1,3,0
420,Blue,Loss,False,False,False,True,False,False,2,0,1,1,0
425,Red,Win,True,True,True,False,True,True,10,3,0,4,2
430,Blue,Win,True,True,True,True,False,True,11,2,1,2,2
435,Red,Loss,False,False,False,False,True,False,1,0,0,1,0
440,Blue,Win,True,True,True,False,False,True,7,1,0,1,1
445,Red,Loss,False,False,False,False,True,False,0,0,0,1,0
450,Blue,Loss,False,False,False,False,True,False,0,0,0,2,0
455,Red,Win,True,True,True,False,False,True,6,1,0,1,1
460,Blue,Loss,False,False,False,False,True,True,2,0,0,1,2
465,Red,Win,True,True,True,True,False,False,9,3,2,4,0
470,Blue,Loss,False,False,False,False,False,True,0,0,0,0,1
475,Red,Win,True,True,False,False,True,False,3,0,0,3,0
480,Blue,Win,True,True,True,True,True,True,11,2,1,1,2
485,Red,Loss,False,False,False,False,False,False,1,0,0,3,0
490,Blue,Loss,False,False,False,False,True,True,6,0,0,3,1
495,Red,Win,True,True,True,True,False,False,8,1,2,2,1
500,Blue,Win,False,True,True,False,False,False,7,1,0,1,1
505,Red,Loss,True,False,False,False,True,True,2,0,0,3,1
510,Blue,Win,False,True,False,True,False,True,8,1,1,1,1
515,Red,Loss,True,False,True,False,True,False,6,1,0,3,1
520,Blue,Loss,False,True,False,False,False,True,1,0,0,0,1
525,Red,Win,True,False,False,False,True,False,3,0,0,2,0
530,Blue,Loss,False,False,False,False,False,False,0,0,0,1,0
535,Red,Win,True,True,True,False,True,True,8,1,0,2,1
540,Blue,Win,True,True,True,True,False,True,8,1,1,2,1
545,Red,Loss,False,False,False,False,True,False,3,0,0,2,0
550,Blue,Win,True,True,True,True,True,True,10,2,1,3,2
555,Red,Loss,False,False,False,False,False,False,2,0,0,2,0
560,Blue,Win,True,True,True,True,False,False,8,1,1,4,0
565,Red,Loss,False,False,False,False,True,True,3,0,0,1,1
570,Blue,Win,True,True,True,False,True,True,11,3,0,3,2
575,Red,Loss,False,False,False,False,False,False,1,0,0,0,0
580,Blue,Loss,False,True,False,True,False,True,5,0,1,2,2
585,Red,Win,True,False,True,False,True,False,8,1,0,3,0
590,Blue,Win,True,True,True,False,True,True,6,1,0,2,1
595,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
600,Blue,Win,False,True,True,True,True,True,11,4,1,4,2
605,Red,Loss,True,False,False,False,False,False,0,0,0,0,0
610,Blue,Win,False,True,True,True,False,True,10,2,1,2,1
615,Red,Loss,True,False,False,False,True,False,3,0,0,2,0
620,Blue,Loss,True,False,False,False,True,False,6,0,0,1,0
625,Red,Win,False,True,True,True,False,True,10,2,1,3,2
630,Blue,Loss,True,True,False,True,True,True,3,0,1,5,2
635,Red,Win,False,False,True,False,False,False,8,1,1,1,0
640,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
645,Red,Win,True,True,False,False,True,True,6,0,0,2,1
650,Blue,Loss,True,True,False,False,True,True,3,0,0,1,1
655,Red,Win,False,False,True,True,False,False,8,1,1,3,1
660,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
665,Red,Win,True,True,True,False,True,True,10,2,0,3,2
670,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
675,Red,Win,True,True,False,False,True,False,1,0,0,2,0
680,Blue,Win,False,True,False,False,True,False,3,0,0,2,0
685,Red,Loss,True,False,False,False,False,False,1,0,0,0,0
690,Blue,Win,False,True,True,True,True,True,9,2,1,4,1
695,Red,Loss,True,False,False,False,False,False,2,0,0,0,0
700,Blue,Loss,True,False,False,False,True,True,0,0,0,2,1
705,Red,Win,False,True,True,True,False,False,10,3,1,2,1
710,Blue,Loss,True,False,False,False,True,False,2,0,0,1,0
715,Red,Win,False,True,False,False,False,True,2,0,0,1,1
720,Blue,Loss,True,True,True,True,False,True,6,1,1,0,1
725,Red,Win,False,False,False,False,True,False,7,1,0,4,0
730,Blue,Win,True,True,True,False,True,True,10,2,0,3,2
735,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
740,Blue,Loss,False,False,False,False,False,False,1,0,0,0,0
745,Red,Win,True,True,True,False,True,True,7,1,0,3,1
750,Blue,Loss,True,False,False,False,False,True,6,0,0,0,1
755,Red,Win,False,True,True,True,True,False,7,2,1,4,1
760,Blue,Loss,True,False,False,False,False,False,1,0,0,0,0
765,Red,Win,False,True,False,False,True,True,7,0,0,4,1
770,Blue,Loss,False,False,False,True,True,True,3,0,2,2,2
775,Red,Win,True,True,True,False,False,False,8,1,0,3,0
780,Blue,Win,True,True,True,True,False,False,11,4,1,3,1
785,Red,Loss,False,False,False,False,True,True,1,0,0,1,1
790,Blue,Win,True,True,True,True,True,False,9,1,1,3,0
795,Red,Loss,False,False,False,False,False,True,2,0,0,1,1
800,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
805,Red,Win,True,True,True,False,True,True,10,2,0,1,1
810,Blue,Win,False,False,True,True,False,True,11,3,1,1,1
815,Red,Loss,True,True,False,False,True,False,3,0,0,4,0
820,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
825,Red,Win,False,False,False,False,False,False,0,0,0,0,0
830,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
835,Red,Win,True,True,True,False,True,True,10,1,0,2,1
840,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
845,Red,Win,True,True,True,True,True,True,10,2,1,3,1
850,Blue,Win,True,True,True,True,True,True,11,3,1,4,2
855,Red,Loss,False,False,False,False,False,False,2,0,0,0,0
860,Blue,Loss,True,True,False,False,False,True,1,0,0,0,1
865,Red,Win,False,False,True,True,True,False,9,2,1,3,1
870,Blue,Loss,True,False,False,True,True,False,5,1,2,4,0
875,Red,Win,False,True,True,False,False,True,8,1,0,2,2
880,Blue,Win,False,False,False,False,True,False,7,1,0,4,0
885,Red,Loss,True,True,True,True,False,False,10,3,2,1,0
890,Blue,Loss,True,False,False,False,True,False,0,0,0,1,0
895,Red,Win,False,True,False,False,False,True,5,0,0,2,1
900,Blue,Win,True,True,True,True,True,True,10,3,2,2,2
905,Red,Loss,False,False,False,False,False,False,2,0,0,3,0
910,Blue,Win,False,False,False,True,False,False,5,0,1,1,0
915,Red,Loss,True,True,False,False,True,True,4,0,0,2,2
920,Blue,Win,True,True,False,False,True,True,3,0,0,3,2
925,Red,Loss,False,False,False,False,False,False,1,0,0,0,0
930,Blue,Win,False,False,True,True,False,True,9,2,2,4,1
935,Red,Loss,True,True,False,False,True,False,8,1,1,3,1
940,Blue,Win,False,False,True,True,False,False,8,3,3,4,1
945,Red,Loss,True,True,False,False,True,True,11,2,0,3,1
950,Blue,Win,False,False,True,True,False,False,8,3,3,4,1
955,Red,Loss,True,True,False,False,True,True,11,2,0,3,1
960,Blue,Win,True,True,True,False,True,False,7,1,0,2,1
965,Red,Loss,False,False,False,False,False,True,1,0,0,1,1
970,Blue,Loss,False,False,False,False,True,False,1,0,0,3,0
975,Red,Win,True,True,True,False,False,True,6,1,0,0,2
980,Blue,Win,True,False,True,True,False,False,10,2,2,3,1
985,Red,Loss,False,True,False,False,True,True,4,0,0,2,1
990,Blue,Loss,True,False,False,False,False,False,0,0,0,1,0
995,Red,Win,False,True,False,False,True,False,1,0,0,1,0
1000,Blue,Loss,False,False,False,False,False,False,3,0,0,0,0
1005,Red,Win,True,True,True,True,True,True,7,1,1,3,1
1010,Blue,Loss,True,True,False,False,False,True,5,0,0,2,1
1015,Red,Win,False,False,True,True,True,False,7,1,1,3,1
1020,Blue,Win,False,False,False,False,False,False,7,1,1,1,0
1025,Red,Loss,True,True,True,True,True,True,10,2,1,3,1
1030,Blue,Win,True,True,False,False,True,True,1,0,0,2,1
1035,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
1040,Blue,Loss,False,False,False,False,True,False,3,0,0,2,1
1045,Red,Win,True,True,True,True,False,True,6,1,1,2,1
1050,Blue,Win,True,True,True,False,True,True,6,1,0,3,1
1055,Red,Loss,False,False,False,False,False,False,2,0,0,0,0
1060,Blue,Win,True,False,False,False,True,False,2,0,0,2,0
1065,Red,Loss,False,True,False,False,False,False,1,0,0,0,0
1070,Blue,Loss,False,False,False,False,True,False,1,0,0,2,0
1075,Red,Win,True,True,True,False,False,True,8,2,0,2,2
1080,Blue,Win,True,True,True,False,False,True,7,1,0,2,2
1085,Red,Loss,False,False,False,False,True,False,1,0,0,2,0
1090,Blue,Win,True,True,False,False,True,True,1,0,0,1,1
1095,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
1100,Blue,Win,True,True,True,True,True,True,6,1,1,3,2
1105,Red,Loss,False,False,False,False,False,False,5,0,0,0,0
1110,Blue,Win,True,True,True,False,True,True,8,2,0,3,1
1115,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
1120,Blue,Win,False,True,True,False,False,True,5,1,0,2,2
1125,Red,Loss,True,False,False,False,True,False,1,0,0,1,0
1130,Blue,Win,False,True,True,False,False,True,8,1,0,2,2
1135,Red,Loss,True,False,False,False,True,False,0,0,0,1,0
1140,Blue,Win,True,True,True,False,False,True,5,1,0,0,1
1145,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
1150,Blue,Loss,True,True,False,False,False,True,5,0,0,1,1
1155,Red,Win,False,False,True,True,True,False,7,1,2,3,0
1160,Blue,Loss,False,False,False,False,False,False,1,0,0,1,0
1165,Red,Win,True,True,True,True,True,True,11,3,1,3,1
1170,Blue,Win,True,True,True,False,True,True,11,5,0,3,2
1175,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
1180,Blue,Loss,False,False,False,False,False,True,3,0,0,4,2
1185,Red,Win,True,True,True,True,True,False,7,1,1,1,0
1190,Blue,Win,True,True,False,True,True,True,6,0,1,4,1
1195,Red,Loss,False,False,False,False,False,False,2,0,0,0,0
1200,Blue,Loss,False,False,False,False,True,True,2,0,0,2,1
1205,Red,Win,True,True,False,False,False,False,3,0,0,1,0
1210,Blue,Win,True,True,True,True,True,True,10,3,1,3,1
1215,Red,Loss,False,False,False,False,False,False,0,0,0,1,0
1220,Blue,Loss,True,False,False,False,False,True,1,0,0,0,2
1225,Red,Win,False,True,True,True,True,False,7,1,1,4,0
1230,Blue,Win,True,True,True,False,True,False,8,1,0,3,0
1235,Red,Loss,False,False,False,False,False,True,0,0,0,0,1
1240,Blue,Win,True,False,False,False,True,False,6,1,1,2,0
1245,Red,Loss,False,True,True,True,False,True,10,2,1,3,1
1250,Blue,Loss,False,True,False,True,True,True,3,0,1,2,2
1255,Red,Win,True,False,True,False,False,False,7,1,0,2,0
1260,Blue,Win,True,True,True,True,True,True,11,3,1,2,2
1265,Red,Loss,False,False,False,False,False,False,0,0,0,1,0
1270,Blue,Loss,True,True,True,True,True,True,7,2,1,3,2
1275,Red,Win,False,False,False,False,False,False,10,2,1,2,0
1280,Blue,Loss,True,True,False,False,False,True,1,0,0,0,1
1285,Red,Win,False,False,True,True,True,False,8,1,1,4,1
1290,Blue,Loss,False,False,False,False,False,False,2,0,0,0,0
1295,Red,Win,True,True,True,True,True,True,11,3,1,3,1
1300,Blue,Loss,False,False,False,True,True,False,5,0,1,2,0
1305,Red,Win,True,True,True,False,False,True,7,1,0,1,2
1310,Blue,Win,True,True,True,True,True,True,10,3,1,4,2
1315,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
1320,Blue,Loss,False,True,False,False,False,False,3,0,0,1,0
1325,Red,Win,True,False,True,True,True,True,11,3,2,3,1
1330,Blue,Win,True,True,True,True,True,False,10,2,1,3,0
1335,Red,Loss,False,False,False,False,False,True,2,0,0,0,1
1340,Blue,Win,True,True,True,True,True,True,9,1,1,1,1
1345,Red,Loss,False,False,False,False,False,False,3,0,0,1,0
1350,Blue,Win,False,True,True,False,True,True,8,2,0,3,1
1355,Red,Loss,True,False,False,False,False,False,0,0,0,0,0
1360,Blue,Win,True,True,True,True,False,False,10,1,1,2,0
1365,Red,Loss,False,False,False,False,True,True,2,0,0,2,1
1370,Blue,Loss,True,False,False,False,True,False,0,0,0,1,0
1375,Red,Win,False,True,True,True,False,True,11,3,1,2,2
1380,Blue,Win,False,False,True,False,True,False,9,2,0,2,1
1385,Red,Loss,True,True,False,False,False,True,2,0,0,0,1
1390,Blue,Win,False,False,True,False,True,False,9,1,0,3,0
1395,Red,Loss,True,True,False,False,False,False,3,0,0,0,0
1400,Blue,Win,True,True,False,False,False,False,6,0,0,2,0
1405,Red,Loss,False,False,False,False,True,True,0,0,0,1,1
1410,Blue,Win,True,True,False,True,False,False,5,0,1,3,1
1415,Red,Loss,False,False,False,False,True,True,3,0,0,1,1
1420,Blue,Loss,False,False,False,False,False,False,2,0,0,0,0
1425,Red,Win,True,True,True,False,True,True,6,1,0,2,1
1430,Blue,Win,False,True,False,False,True,True,5,0,0,2,1
1435,Red,Loss,True,False,False,False,False,False,1,0,0,0,0
1440,Blue,Win,False,False,False,True,False,True,3,0,1,2,1
1445,Red,Loss,True,True,False,False,True,False,3,0,0,1,0
1450,Blue,Win,False,True,True,False,True,True,11,2,0,2,2
1455,Red,Loss,True,False,False,False,False,False,0,0,0,0,0
1460,Blue,Win,True,True,True,False,True,False,6,1,0,2,1
1465,Red,Loss,False,False,False,False,False,True,0,0,0,1,1
1470,Blue,Loss,False,True,False,False,False,True,2,0,0,0,2
1475,Red,Win,True,False,True,False,True,False,9,1,0,3,0
1480,Blue,Win,True,True,True,True,False,False,5,1,1,3,0
1485,Red,Loss,False,False,False,False,True,True,3,0,0,1,2
1490,Blue,Loss,False,False,False,False,False,True,0,0,0,1,1
1495,Red,Win,True,True,True,True,True,False,9,3,1,3,1
1500,Blue,Win,False,True,True,True,False,True,10,2,1,2,2
1505,Red,Loss,True,False,False,False,True,False,0,0,0,1,0
1510,Blue,Win,True,True,True,True,False,True,9,2,1,3,1
1515,Red,Loss,False,False,False,False,True,False,4,0,1,2,0
1520,Blue,Win,True,True,True,True,False,False,10,2,1,2,0
1525,Red,Loss,False,False,False,False,True,False,0,0,0,1,0
1530,Blue,Loss,False,False,False,False,False,False,3,0,0,1,0
1535,Red,Win,True,True,True,True,True,True,7,1,1,3,2
1540,Blue,Win,True,False,False,False,False,True,8,1,2,3,1
1545,Red,Loss,False,True,True,True,True,False,6,1,1,3,0
1550,Blue,Loss,False,False,False,False,False,False,2,0,0,0,0
1555,Red,Win,True,True,True,True,True,True,7,1,1,4,1
1560,Blue,Loss,False,False,False,False,False,True,5,0,0,1,1
1565,Red,Win,True,True,True,True,True,False,9,1,2,4,1
1570,Blue,Win,True,True,True,True,True,False,9,1,1,4,0
1575,Red,Loss,False,False,False,False,False,True,2,0,0,0,1
1580,Blue,Loss,True,False,False,True,False,False,4,0,1,1,0
1585,Red,Win,False,True,True,False,True,True,10,1,1,4,2
1590,Blue,Win,True,True,True,True,True,True,9,1,1,2,1
1595,Red,Loss,False,False,False,False,False,False,1,0,0,1,0
1600,Blue,Win,False,True,False,False,False,False,2,0,0,2,0
1605,Red,Loss,True,False,False,False,True,False,1,0,0,1,0
1610,Blue,Loss,False,False,False,False,False,False,0,0,0,0,1
1615,Red,Win,True,True,True,True,True,True,10,2,1,4,1
1620,Blue,Win,False,True,True,False,True,True,9,1,0,2,1
1625,Red,Loss,True,False,False,False,False,False,0,0,0,0,0
1630,Blue,Win,False,True,True,False,False,True,8,1,0,2,2
1635,Red,Loss,True,False,False,False,True,False,1,0,0,1,0
1640,Blue,Win,False,True,True,False,False,True,8,1,0,2,2
1645,Red,Loss,True,False,False,False,True,False,1,0,0,1,0
1650,Blue,Win,False,False,True,False,True,False,6,1,0,4,1
1655,Red,Loss,True,True,False,True,False,True,2,0,1,0,1
1660,Blue,Loss,True,False,False,False,True,False,0,0,0,1,0
1665,Red,Win,False,True,True,True,False,True,11,4,2,4,2
1670,Blue,Loss,True,False,False,False,False,True,3,0,0,2,2
1675,Red,Win,False,True,True,True,True,False,11,7,3,5,0
1680,Blue,Loss,True,False,False,False,True,False,2,0,0,1,0
1685,Red,Win,False,True,True,True,False,True,10,2,1,1,1
1690,Blue,Win,True,False,True,True,True,False,6,1,1,4,0
1695,Red,Loss,False,True,False,False,False,True,3,0,0,0,1
1700,Blue,Loss,True,False,False,False,False,False,2,0,0,0,0
1705,Red,Win,False,True,True,True,True,True,7,1,1,4,1
1710,Blue,Win,True,False,True,True,False,False,10,3,2,3,1
1715,Red,Loss,False,True,False,False,True,True,3,0,0,2,1
1720,Blue,Loss,False,False,False,False,False,True,2,0,0,1,1
1725,Red,Win,True,True,True,True,True,False,10,1,1,3,0
1730,Blue,Win,True,True,False,False,False,True,4,0,0,1,1
1735,Red,Loss,False,False,False,False,True,False,0,0,0,1,0
1740,Blue,Win,True,True,False,False,True,False,1,0,0,1,0
1745,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
1750,Blue,Win,True,True,True,False,True,True,11,2,0,2,1
1755,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
1760,Blue,Loss,False,True,True,True,False,True,8,2,1,1,1
1765,Red,Win,True,False,False,False,True,False,7,1,1,4,0
1770,Blue,Win,True,False,True,False,False,False,10,3,2,4,0
1775,Red,Loss,False,True,False,True,True,True,6,0,1,1,1
1780,Blue,Win,True,True,True,False,True,True,9,1,0,2,2
1785,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
1790,Blue,Win,True,True,False,False,True,True,5,0,0,1,1
1795,Red,Loss,False,False,False,False,False,False,0,0,0,1,0
1800,Blue,Win,True,True,False,False,True,False,3,0,0,2,0
1805,Red,Loss,False,False,False,False,False,False,1,0,0,0,0
1810,Blue,Win,True,True,False,False,True,False,5,0,0,3,1
1815,Red,Loss,False,False,False,False,False,True,0,0,0,0,1
1820,Blue,Win,False,True,True,True,False,True,8,1,1,4,1
1825,Red,Loss,True,False,False,False,True,False,3,0,1,1,0
1830,Blue,Loss,True,False,False,True,True,False,3,0,1,3,0
1835,Red,Win,False,True,True,False,False,True,9,1,0,0,2
1840,Blue,Win,False,True,False,False,True,True,4,0,0,2,2
1845,Red,Loss,True,False,False,False,False,False,0,0,0,1,0
1850,Blue,Loss,True,False,False,False,False,False,1,0,0,1,0
1855,Red,Win,False,True,True,True,True,True,8,1,1,2,2
1860,Blue,Win,False,True,True,False,True,False,10,1,0,4,0
1865,Red,Loss,True,False,False,False,False,True,1,0,0,0,1
1870,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
1875,Red,Win,True,True,True,False,True,True,10,3,0,3,1
1880,Blue,Loss,True,False,False,False,True,False,0,0,0,1,0
1885,Red,Win,False,True,False,False,False,False,4,0,0,1,0
1890,Blue,Loss,False,True,False,False,False,True,2,0,0,0,1
1895,Red,Win,True,False,True,True,True,False,9,3,1,4,1
1900,Blue,Loss,True,False,False,False,True,False,0,0,0,2,0
1905,Red,Win,False,True,True,False,False,True,8,1,0,1,2
1910,Blue,Loss,True,False,False,True,False,True,3,0,1,1,1
1915,Red,Win,False,True,True,False,True,False,7,1,0,3,0
1920,Blue,Loss,True,False,True,False,False,True,8,1,0,2,2
1925,Red,Win,False,True,False,True,True,False,8,1,3,3,0
1930,Blue,Loss,False,True,False,False,True,True,3,0,0,3,1
1935,Red,Win,True,False,True,True,False,False,9,1,1,1,0
1940,Blue,Loss,True,False,False,False,False,False,0,0,0,0,0
1945,Red,Win,False,True,True,False,True,True,7,1,0,2,2
1950,Blue,Win,False,False,True,True,False,True,11,4,2,1,1
1955,Red,Loss,True,True,False,False,True,False,3,0,0,4,0
1960,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
1965,Red,Win,True,True,True,False,True,False,10,2,0,2,0
1970,Blue,Loss,True,True,True,False,True,True,6,1,0,2,1
1975,Red,Win,False,False,False,True,False,False,9,2,1,2,0
1980,Blue,Loss,True,False,False,False,True,False,1,0,0,2,0
1985,Red,Win,False,True,False,False,False,True,3,0,0,1,1
1990,Blue,Win,True,False,True,True,False,False,7,2,2,1,0
1995,Red,Loss,False,True,False,False,True,True,3,0,0,3,1
2000,Blue,Loss,False,False,False,False,False,True,1,0,0,2,1
2005,Red,Win,True,True,True,True,True,False,10,2,1,2,0
2010,Blue,Loss,True,False,False,False,True,False,1,0,0,1,0
2015,Red,Win,False,True,False,True,False,True,3,0,1,1,2
2020,Blue,Win,True,True,True,False,True,True,5,1,0,1,1
2025,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
2030,Blue,Win,False,False,True,False,True,False,8,1,1,1,0
2035,Red,Loss,True,True,False,True,False,True,5,0,1,3,1
2040,Blue,Win,True,False,True,True,False,False,7,1,1,2,0
2045,Red,Loss,False,True,False,False,True,True,2,0,0,1,1
2050,Blue,Loss,True,False,False,True,True,False,5,0,1,4,0
2055,Red,Win,False,True,True,False,False,True,10,1,1,2,1
2060,Blue,Win,True,True,True,True,True,True,10,2,1,3,2
2065,Red,Loss,False,False,False,False,False,False,1,0,0,2,0
2070,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
2075,Red,Win,True,True,False,True,True,True,3,0,1,3,1
2080,Blue,Win,True,True,True,True,True,True,9,1,1,3,2
2085,Red,Loss,False,False,False,False,False,False,0,0,0,1,0
2090,Blue,Loss,True,False,False,False,False,False,3,0,0,2,0
2095,Red,Win,False,True,True,False,True,True,9,2,0,2,1
2100,Blue,Win,False,True,True,True,False,False,10,1,1,3,0
2105,Red,Loss,True,False,False,False,True,False,1,0,0,1,0
2110,Blue,Win,True,True,False,False,True,True,4,0,0,2,1
2115,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
2120,Blue,Win,True,True,True,False,True,True,9,2,0,4,1
2125,Red,Loss,False,False,False,False,False,False,3,0,0,0,0
2130,Blue,Win,True,True,True,False,False,True,10,3,0,1,1
2135,Red,Loss,False,False,False,False,True,False,1,0,0,3,0
2140,Blue,Loss,False,False,False,False,False,False,3,0,0,0,0
2145,Red,Win,True,True,True,True,True,True,10,1,1,4,2
2150,Blue,Win,True,True,False,False,True,False,3,0,0,2,0
2155,Red,Loss,False,False,False,False,False,True,1,0,0,0,1
2160,Blue,Loss,False,True,False,False,True,True,3,0,0,3,2
2165,Red,Win,True,False,True,False,False,False,8,1,0,1,0
2170,Blue,Loss,True,True,False,False,True,True,3,0,0,2,1
2175,Red,Win,False,False,True,True,False,False,8,1,1,2,0
2180,Blue,Loss,True,True,False,False,True,True,2,0,0,2,1
2185,Red,Win,False,False,False,True,False,False,5,0,1,1,0
